confidence,source_a,title_a,company_a,tech_a,url_a,source_b,title_b,company_b,tech_b,url_b
low,"alllocaljobs","Network Engineer","BYD Europe","vpn; tcp/ip; cissp","https://hu.alllocaljobs.com/%C3%A1ll%C3%A1s-AdtAJN1Ox","kh","Network Engineer","","python; github; ansible; cisco","https://karrier.kh.hu/allas/network-engineer-15316"
low,"ats-crawl","Business Analyst","MET Group","sql; sql server; azure; azure devops; uat; devops","https://jobs.smartrecruiters.com/METGroup/743999829903483-business-analyst","mbh","Business analyst","","jira; confluence; visio; agile; english","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/21525/business-analyst/it"
low,"LinkedIn","network engineer","humanfield executive and specialist search","vpn; vlan","https://hu.linkedin.com/jobs/view/network-engineer-at-humanfield-executive-and-specialist-search-4458381107?position=8&pageNum=12&refId=%2B8EgSgNiCMnHpYeR4zmrng%3D%3D&trackingId=6kPy41PnQfew0z5yWnmwvA%3D%3D","kh","Network Engineer","","python; github; ansible; cisco","https://karrier.kh.hu/allas/network-engineer-15316"
low,"profession-intern","MANUÁLIS TESZTELŐ","Raiffeisen Bank Zrt.","jira; hungarian; english","https://www.profession.hu/allas/manualis-tesztelo-raiffeisen-bank-zrt-2982710","otp","Manuális tesztelő","","java; istqb","https://karrier.otpbank.hu/leanyvallalatok/job/Budapest-Manu%C3%A1lis-tesztel%C5%91-1138/1427317433/"
medium,"wherewework","Data Engineer (Databricks)","Technology & Software Employers in Hungary","databricks; data science","https://www.wherewework.hu/en/jobs/data-engineer-databricks/172827","cg-jobstream","Databricks Data Engineer","","python; sql; aws; azure; ci/cd","https://careers.capgemini.com/job/Budapest-Databricks-Data-Engineer/1381151933/?feedId=388633&tcsource=apply"
low,"raiffeisen","MANUÁLIS TESZTELŐ","","elk stack; jira","https://raiffeisen.karrierportal.hu/allas/manualis-tesztelo-9470","otp","Manuális tesztelő","","java; istqb","https://karrier.otpbank.hu/leanyvallalatok/job/Budapest-Manu%C3%A1lis-tesztel%C5%91-1138/1427317433/"
low,"raiffeisen","MANUÁLIS TESZTELŐ","","elk stack; jira","https://raiffeisen.karrierportal.hu/allas/manualis-tesztelo-9470","profession-intern","Manuális tesztelő","Simplepay Zrt.","java; istqb; hungarian; english","https://www.profession.hu/allas/manualis-tesztelo-simplepay-zrt-2978178"
low,"LinkedIn","business analyst","az9 group","elk stack; bpmn","https://hu.linkedin.com/jobs/view/business-analyst-at-az9-group-4458164675?position=8&pageNum=0&refId=uzRzUvicDjx2%2FdEd42%2B0uA%3D%3D&trackingId=E1lD7WItPjuyxeW7zzCMaw%3D%3D","mbh","Business analyst","","jira; confluence; visio; agile; english","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/21525/business-analyst/it"
medium,"LinkedIn","ai platform architect","unisys","express; graphql; aws; azure; gcp; ci/cd; terraform; infrastructure as code; etl; llm; agile","https://hu.linkedin.com/jobs/view/ai-platform-architect-at-unisys-4402994326?position=11&pageNum=0&refId=%2F8FBfu9oSZCiZvnCAQBurg%3D%3D&trackingId=4XmrgIj7sdKlpfRriLnE%2Fg%3D%3D","otp","AI Platform Architect","","mcp","https://karrier.otpbank.hu/otp/job/Budapest-AI-Platform-Architect-1131/1400290233/"
low,"otp","Rendszerszervező","","swift; sql; kafka; rest api; uml; bpmn","https://karrier.otpbank.hu/otp/job/Budapest-Rendszerszervez%C5%91-1131/1427282933/","mbh","Rendszerszervező","","etl; elt; uat","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22111/rendszerszervezo/it"
