confidence,source_a,title_a,company_a,tech_a,url_a,source_b,title_b,company_b,tech_b,url_b
low,"LinkedIn","data engineer","smp solutions","python; c#; scala; sql; sql server; oracle; power bi; databricks; dynamics 365; azure; ci/cd; azure data factory; etl; devops; data lake; agile","https://hu.linkedin.com/jobs/view/data-engineer-at-smp-solutions-4462421125?position=4&pageNum=14&refId=Qau1WuCbOfpgfnzfvWMNBg%3D%3D&trackingId=fHzWdb7lxoa828ZUqwy5Yg%3D%3D","wherewework","Data Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-engineer/174684"
low,"LinkedIn","data engineer","allianz technology","python; sql; power bi; apache spark; azure; github; azure synapse; etl; agile; data warehouse; data lake","https://hu.linkedin.com/jobs/view/data-engineer-at-allianz-technology-4462174397?position=18&pageNum=0&refId=nKy4Kt3gWTTAeJJmx8ACwg%3D%3D&trackingId=6pj2MoHO45pqpujHMISq8w%3D%3D","wherewework","Data Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-engineer/174684"
low,"LinkedIn","data engineer","empiric","sql; redshift; aws; cloudwatch; dbt; apache spark; apache airflow","https://hu.linkedin.com/jobs/view/data-engineer-at-empiric-4461779663?position=6&pageNum=11&refId=qhUVwOuI776s8vKVJmg5aQ%3D%3D&trackingId=lMdOTv27avBSaQKMUSMiDA%3D%3D","wherewework","Data Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-engineer/174684"
low,"startupjobs","Data Engineer","Silabs India Private Limited","python; sql; postgresql; mssql; power bi; snowflake; tableau; redshift; aws; ci/cd; jenkins; grafana; etl; machine learning; devops","https://startup.jobs/data-engineer-silabs-india-private-limited-9793499","wherewework","Data Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-engineer/174684"
medium,"ats-crawl","C++ Software Engineer","WorldQuant","c++; linux; unix","https://job-boards.greenhouse.io/worldquant/jobs/4648493006","wherewework","Software Engineer (C#)","Technology & Software Employers in Hungary","c#","https://www.wherewework.hu/en/jobs/software-engineer-c/172690"
low,"LinkedIn","data engineer","silicon labs","python; sql; postgresql; mssql; power bi; snowflake; tableau; redshift; aws; ci/cd; jenkins; grafana; etl; machine learning; devops","https://hu.linkedin.com/jobs/view/data-engineer-at-silicon-labs-4458093974?position=15&pageNum=0&refId=KmvTe%2Bmrk80ZQf9%2B6Q9zBg%3D%3D&trackingId=66KD1U1bYUWH0rKO9IMg8g%3D%3D","wherewework","Data Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-engineer/174684"
low,"LinkedIn","ai engineer","nordconn international","python; apache spark; docker; kubernetes; ci/cd; prometheus; rest api; machine learning; llm; rag; cuda","https://hu.linkedin.com/jobs/view/ai-engineer-at-nordconn-international-4458087051?position=11&pageNum=0&refId=09TEhhrMLQbOGIwrHcOdEg%3D%3D&trackingId=C0tdiIZo4m9mEQdikIaCzg%3D%3D","wherewework","AI Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/ai-engineer/174694"
low,"AI-scraped","Data Analyst","SwiconGroup","python; sql; power bi; databricks; tableau; windows server; windows","https://swicon-jobs.com/jobad/data-analyst/","wherewework","Data Analyst","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-analyst/174687"
low,"LinkedIn","ai engineer","korber","typescript; java; sql; angular; spring boot; spring; liferay; nosql; aws; azure; gcp; docker; github; git; junit; llm; langchain; prompt engineering; agile","https://hu.linkedin.com/jobs/view/ai-engineer-at-k%C3%B6rber-4459167543?position=10&pageNum=0&refId=hdWF5GpV7%2FC%2F4SS337cKJw%3D%3D&trackingId=Q%2BtnKrtOfQHFlDcZqENjCQ%3D%3D","wherewework","AI Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/ai-engineer/174694"
low,"LinkedIn","test engineer","itron, inc.","javascript; typescript; java; sql; azure; docker; ci/cd; linux; unix; jenkins; azure devops; git; playwright; test automation; regression testing; functional testing; exploratory testing; jira; microservices; agile; devops","https://hu.linkedin.com/jobs/view/test-engineer-at-itron-inc-4459175059?position=20&pageNum=0&refId=27oBXNJLgMxJgxAZp%2FMXyQ%3D%3D&trackingId=sA1dTuxaySFkFupFVoRTVQ%3D%3D","wherewework","Test Engineer","Electronics & Battery Employers in Hungary","python","https://www.wherewework.hu/en/jobs/test-engineer/172114"
medium,"LinkedIn","software engineer (c++)","qualysoft","python; java; c++; linux; unix; microservices; agile; devops","https://hu.linkedin.com/jobs/view/software-engineer-c%2B%2B-at-qualysoft-4459148684?position=17&pageNum=0&refId=3MzvomQg4y%2FNSM2QKgBBHg%3D%3D&trackingId=SD3CY1f%2Fpp62%2F20Mm5afyg%3D%3D","wherewework","Software Engineer (C#)","Technology & Software Employers in Hungary","c#","https://www.wherewework.hu/en/jobs/software-engineer-c/172690"
low,"wherewework","AI Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/ai-engineer/174694","LinkedIn","ai engineer","aliz","gcp; ci/cd; solid; tdd; test automation; machine learning; llm; ai agents; data warehouse; generative ai","https://hu.linkedin.com/jobs/view/ai-engineer-at-aliz-4443802767?position=30&pageNum=0&refId=m0W3eAZg%2BKWte0DM1JgqQQ%3D%3D&trackingId=AO%2BbvfT1l5WCysCGXruYYg%3D%3D"
low,"wherewework","AI Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/ai-engineer/174694","AI-scraped","AI Engineer","ALDI International IT Services","typescript; python; sql; node.js; flask; fastapi; docker; kubernetes; langchain; rag; sap","https://jobs.aldi-hofer.com/aldi-karrier-hu/job/Budapest-AI-Engineer-Pest-1112/1398099833/"
low,"wherewework","AI Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/ai-engineer/174694","raiffeisen","AI ENGINEER","","aws; docker; machine learning; llm","https://raiffeisen.karrierportal.hu/allas/ai-engineer-9386"
low,"wherewework","Data Analyst","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-analyst/174687","AI-scraped","Data Analyst","MediaMarkt Magyarorszag","python; sql; vba; sql server; power bi; gcp; excel","https://careers.mediamarktsaturn.com/MediaMarktHU/job/Budapest-Data-Analyst-1138/1400384233/"
low,"wherewework","Data Analyst","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-analyst/174687","AI-scraped","Data Analyst","ALDI International IT Services","python; sql; etl","https://jobs.aldi-hofer.com/aldi-karrier-hu/job/Budapest-Data-Analyst-Pest-1112/1397100133/"
low,"wherewework","Data Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-engineer/174684","LinkedIn","data engineer","mpower plus","sql; redshift; aws; kubernetes; github actions; github; ci/cd; cloudwatch; dbt; git; solid; agile; data warehouse; apache spark","https://hu.linkedin.com/jobs/view/data-engineer-at-mpower-plus-4456168312?position=48&pageNum=0&refId=tJGr7QW1OwPiGePqnIsQxQ%3D%3D&trackingId=24RoHMzzsGeNpusONsfi6g%3D%3D"
low,"wherewework","Data Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-engineer/174684","AI-scraped","Data Engineer","Stratis","sql; sql server; power bi; azure; etl; data warehouse","https://www.stratis.hu/en/careers/data-engineer"
low,"wherewework","Data Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-engineer/174684","profession-intern","Data Engineer","Lufthansa Systems Hungária Kft.","javascript; python; java; scala; sql; bash; apache spark; databricks; azure; ci/cd; azure data factory; json; xml; english","https://www.profession.hu/allas/data-engineer-lufthansa-systems-hungaria-kft-2976293"
